LINECODE,STATIONCODE,DIRECTION,NEXTSTATIONCODE,PARKTIME
94,9435,0,9433,40
94,9437,1,9439,45
96,9645,0,9643,45
96,9647,1,0,0
96,9647,0,9645,0
97,9713,1,9712,0
97,9713,0,0,0
97,9712,1,9711,25
97,9712,0,9713,25
97,9711,1,9710,30
97,9711,0,9712,30
97,9710,1,9709,30
97,9710,0,9711,30
97,9709,1,9708,30
97,9709,0,9710,30
97,9708,1,9707,40
97,9708,0,9709,30
97,9707,1,9706,30
97,9707,0,9708,30
97,9706,1,9705,40
97,9706,0,9707,30
97,9705,1,9704,50
97,9705,0,9706,30
97,9704,1,9703,50
97,9704,0,9705,30
97,9703,1,9702,30
97,9703,0,9704,30
97,9702,1,9701,30
97,9702,0,9703,30
97,9701,1,0,0
97,9701,0,9702,0
94,9437,0,9435,45
94,9439,1,9441,50
94,9439,0,9437,50
94,9441,1,0,0
94,9441,0,9439,0
95,9543,1,9521,0
95,9543,0,0,0
95,9521,1,9523,0
95,9521,0,9543,0
95,9523,1,9525,30
95,9523,0,9521,30
95,9525,1,9527,30
95,9525,0,9523,30
95,9527,1,9529,30
95,9527,0,9525,30
95,9529,1,9531,30
95,9529,0,9527,30
95,9531,1,9533,30
95,9531,0,9529,30
95,9533,1,9535,30
95,9533,0,9531,30
95,9535,1,9537,30
95,9535,0,9533,30
95,9537,1,9539,30
95,9537,0,9535,30
95,9539,1,9541,35
95,9539,0,9537,35
95,9541,1,0,45
95,9541,0,9539,45
96,9621,1,9623,0
96,9621,0,0,0
96,9623,1,9625,30
96,9623,0,9621,30
96,9625,1,9627,30
96,9625,0,9623,30
96,9627,1,9629,30
96,9627,0,9625,30
96,9629,1,9631,35
96,9629,0,9627,35
96,9631,1,9633,30
96,9631,0,9629,30
96,9633,1,9635,30
96,9633,0,9631,30
96,9635,1,9637,30
96,9635,0,9633,30
96,9637,1,9639,30
96,9637,0,9635,30
96,9639,1,9641,30
96,9639,0,9637,30
96,9641,1,9643,30
96,9641,0,9639,30
96,9643,1,9645,35
96,9643,0,9641,35
96,9645,1,9647,45
